CELEBRITY-EQ.NS      "CELEBRITY FASHIONS LIMITED"                                                                        
ELECON-EQ.NS         "ELECON ENGINEERING COMPANY LIMI"                                                                   
DLF.NS               "DLF Ltd"                                                                                           
HDFC.NS              "Housing Development Finance Corp Ltd"                                                              
DISHTV.NS            "Dish TV India Ltd"                                                                                 
DRREDDY.NS           "Dr Reddy Laboratories Ltd"                                                                         
DHFL.NS              "DEWAN HOUSING FINANCE CORPORATI"                                                                   
IRB.NS               "IRB Infrastructure Developers Ltd"                                                                 
DCW.NS               "DCW Ltd"                                                                                           
ADSL-EQ.NS           "ALLIED DIGITAL SERVICES LIMITED"                                                                   
ESSDEE.NS            "ESS DEE Aluminium Ltd"                                                                             
DENABANK.NS          "Dena Bank"                                                                                         
DEEPIND.NS           "Deep Industries Ltd"                                                                               
BLUEDART.NS          "Blue Dart Express Ltd"                                                                             
RUSHIL.NS            "Rushil Decor Ltd"                                                                                  
RKDL.NS              "Ravikumar Distilleries Ltd"                                                                        
PARSVNATH.NS         "Parsvnath Developers Limited"                                                                      
NDL-EQ.NS            "NANDAN DENIM LIMITED"                                                                              
DPL.NS               ""                                                                                                  
DSSL-EQ.NS           "DYNACONS SYS SOLUT INR10"                                                                          
KOLTEPATI.NS         "Kolte Patil Developers Ltd"                                                                        
DALMIAREF.NS         "Dalmia Refractories Ltd"                                                                           
DWARKESH-BE.NS       "DWARIKESH SUGAR IN INR10"                                                                          
DONEAR-EQ.NS         "DONEAR INDUSTRIES LIMITED"                                                                         
PIPAVAVDO.NS         "PIPAVAV DEFENCE AND OFFSHORE EN"                                                                   
DHUNINV.NS           "Dhunseri Investments Ltd"                                                                          
DELTAMAGNT-EQ.NS     "DELTA MAGNETS LIMITED"                                                                             
PRABHAT-EQ.NS        "PRABHAT DAIRY LIMITED"                                                                             
NDL.NS               "Nandan Denim Limited"                                                                              
DECOLIGHT.NS         "Decolight Ceramics Ltd"                                                                            
DWARKESH.NS          "Dwarikesh Sugar Industries Ltd"                                                                    
ADLABS-EQ.NS         "ADLABS ENTERTAINMENT LIMITED"                                                                      
JCTEL-EQ.NS          "JCT ELECTRONICS LIMITED"                                                                           
ELGIEQUIP.NS         "Elgi Equipments Ltd"                                                                               
UNITEDTEA.NS         "The United Nilgiri Tea Estates Co Ltd"                                                             
VIKASGLOB.NS         "Vikas EcoTech Limited"                                                                             
M50.NS               "Motilal Oswal MOSt Shares M50 ETF"                                                                 
SAKUMA.NS            "Sakuma Exports Ltd"                                                                                
CENTENKA.NS          "Century Enka Ltd"                                                                                  
NAHARINDUS-EQ.NS     "NAHAR INDUSTRIAL ENTERPRISES LI"                                                                   
TULSI.NS             "Tulsi Extrusions Ltd"                                                                              
NAVNETEDUL-EQ.NS     "NAVNEET EDUCATION LIMITED"                                                                         
ZICOM.NS             "Zicom Electronic Security Systems Ltd"                                                             
NAHARINDU.NS         "Nahar Industrial Enterprises Ltd"                                                                  
FCEL.NS              "Future Consumer Enterprise Limited"                                                                
KEMROCK-EQ.NS        "KEMROCK INDUSTRIES AND EXPORTS "                                                                   
ESCORTS.NS           "Escorts Ltd"                                                                                       
SHEMAROO.NS          "Shemaroo Entertainment Ltd"                                                                        
UBENGG-BZ.NS         "UB ENGINEERING LTD"                                                                                
EXCEL-EQ.NS          "EXCEL REALTY N INFRA LIMITED"                                                                      
ELDERPHAR.NS         "Elder Pharmaceuticals Ltd"                                                                         
ZENITHEXPO-EQ.NS     "ZENITH EXPORTS LIMITED"                                                                            
EMCO.NS              "EMCo Ltd"                                                                                          
RELGRNIFTY-EQ.NS     "RELIGARE MUTUAL FD NIFFTY ETF"                                                                     
